first_name,last_name,dob,company_id,last_active,score,member_since,state
Brandon,Stone,1993-10-21,2,2018-07-04,68,1984,MI
Leslie,Mcgrath,1975-06-19,20,2018-03-17,89,2006,IL
Kayla,Murillo,1973-10-08,20,2018-12-04,89,1970,AR
Sheila,Smith,1993-08-23,11,2018-09-07,91,1976,DE
Donald,Wolf,1981-08-25,15,2018-04-30,59,1973,OK
David,Harrison,1997-10-12,15,2018-08-29,31,1996,NJ
Nicholas,Jensen,1986-03-30,19,2018-02-20,66,1979,SC
Linda,Rodriguez,1985-05-16,17,2018-05-04,41,1980,NH
Roberto,Oneal,1995-03-20,9,2018-06-26,64,1992,GA
Valerie,Madden,1998-10-08,3,2018-05-30,46,1974,NH
April,Ingram,1989-05-09,0,2018-08-22,99,1972,TX
Kevin,Madden,1991-12-26,6,2018-05-24,88,1972,NM
Melinda,Reid,1993-10-28,14,2019-01-06,90,1971,OR
Victor,Blair,1989-05-04,0,2018-12-26,72,1988,GA
Gary,Brown,1986-07-15,1,2018-03-31,42,1977,MA
Brian,Anderson,1978-05-13,5,2018-08-30,96,1972,MN
Valerie,Mendoza,1998-10-28,3,2018-01-15,56,1974,DE
Michael,Villegas,1980-08-24,19,2018-05-04,64,1972,CT
Rebecca,Castillo,1991-01-13,14,2018-12-30,49,1975,TX
Christopher,Rodriguez,1976-10-20,20,2018-12-02,99,1992,CA
Michelle,Sanford,1972-05-01,2,2018-02-23,38,1970,TN
Terri,Livingston,1966-12-29,20,2018-08-20,66,2011,PA
Holly,Hamilton,1991-11-10,16,2018-03-19,77,1982,NC
Julie,Austin,1974-01-20,16,2018-11-12,42,1973,KS
Latasha,Mccoy,1997-10-03,1,2018-04-28,58,1982,HI
William,Martin,1990-08-07,1,2018-12-17,31,1971,HI
Amanda,Ward,1997-11-13,4,2018-04-27,83,1977,WI
Alan,Carey,1974-03-31,20,2018-07-19,83,1986,NH
Karen,Morales,1994-12-22,18,2019-01-04,92,1978,AK
Jeffery,Blankenship,1993-03-27,16,2018-07-11,52,1977,VA
Michael,Wilson,1996-12-23,17,2018-02-09,76,1970,MS
Joshua,Mcdaniel,1987-05-15,20,2018-03-23,58,1985,OK
Ashley,Schmidt,1981-02-24,12,2018-04-28,51,1972,IN
Randy,Howell,1988-05-07,8,2018-09-07,91,1977,MD
Bonnie,Jones,1996-04-09,20,2018-11-18,65,2000,NV
Brittney,Clark,1974-08-24,3,2018-11-29,57,1972,KY
Tracy,Todd,1998-05-03,8,2018-04-05,44,1988,TN
Stacy,Horn,1980-04-23,7,2018-02-14,45,1970,MO
Jennifer,Beck,1994-12-31,1,2018-12-24,53,1973,NV
Scott,Cunningham,1990-08-24,3,2018-01-21,72,1970,AZ
Bruce,Ward,1982-10-04,9,2018-01-22,58,1970,MS
Karen,Stanley,1976-08-07,20,2018-03-17,53,1992,OK
Stacey,Hogan,1994-07-16,16,2018-08-27,71,1984,MD
Shawn,Warner,1996-01-28,8,2018-10-11,79,1983,NY
Lauren,Taylor,1965-06-06,20,2018-10-14,83,2003,LA
Kim,Holloway,1993-05-17,4,2018-09-21,35,1974,SD
Gabriel,Soto,1978-12-06,10,2018-07-06,94,1971,NM
Lisa,Duncan,1996-04-05,0,2018-04-02,68,1988,MT
Deborah,Brown,1987-06-02,20,2018-11-25,97,1991,NV
Kerry,Graham,1991-06-25,4,2018-11-16,99,1984,SD
Randy,James,1994-12-25,1,2018-03-15,41,1973,OH
Felicia,Lopez,1985-10-02,17,2018-10-19,53,1971,TX
Cheryl,Benton,1994-02-13,12,2018-12-24,72,1980,NH
Wendy,Henry,1993-08-27,19,2018-05-24,43,1977,HI
Laura,Burns,1997-04-07,3,2018-07-16,82,1976,NY
Chad,Patel,1996-08-15,7,2018-02-06,48,1970,CO
Phillip,Wolf,1988-12-06,12,2018-11-22,66,1979,TN
Stacy,Farrell,1997-10-23,19,2018-12-11,67,1982,IL
Nicole,Bowen,1997-11-12,4,2018-11-17,79,1974,OH
Sarah,Brown,1986-10-30,20,2018-10-09,46,1975,VT
Peter,Price,1984-09-06,11,2018-06-07,72,1974,IL
William,Collins,1987-09-10,11,2018-05-20,39,1972,SC
Angela,Coleman,1980-05-18,2,2018-12-16,90,1973,AL
Brittney,Miller,1994-10-16,16,2018-12-08,72,1974,MN
Jared,Thomas,1975-08-21,16,2018-08-21,76,1972,MD
Robert,Lynn,1995-03-11,7,2018-04-12,58,1994,DC
Emily,Estes,1994-03-22,15,2018-09-24,61,1974,NJ
Elaine,Hicks,1990-02-13,2,2018-03-25,69,1981,RI
Christine,Ray,1993-06-11,18,2018-11-24,66,1986,ND
James,Ball,1986-04-26,9,2018-01-30,81,1979,KY
Monica,Mueller,1990-04-19,5,2018-08-27,61,1977,NH
Juan,Hernandez,1987-01-29,19,2018-02-17,85,1983,UT
Michael,Logan,1978-07-09,20,2018-10-27,98,2008,NE
Bryan,Brown,1989-09-29,19,2018-10-17,43,1984,OH
Barbara,Johnson,1993-06-02,1,2018-01-16,38,1987,MD
Laura,Gibson,1996-07-20,8,2018-11-21,50,1992,CO
Kevin,Carpenter,1981-07-29,20,2018-09-06,83,1978,NJ
Michael,Randall,1976-01-14,15,2018-12-05,81,1970,CT
Mary,Cox,1991-07-11,20,2018-06-24,85,1972,WY
Lawrence,Hamilton,1993-06-01,16,2018-03-03,73,1976,MS
Javier,Moran,1994-10-20,10,2018-08-27,83,1993,HI
Barbara,Scott,1992-06-18,14,2018-12-06,73,1989,WY
Shawn,Petersen,1995-02-09,7,2018-04-08,60,1972,GA
Anthony,White,1998-01-11,9,2018-07-12,34,1971,AZ
Debra,Coleman,1994-06-29,17,2018-09-18,31,1971,ME
Ashley,Ramirez,1985-12-17,19,2018-12-02,38,1976,CO
Michael,Armstrong,1976-11-30,17,2018-12-25,36,1971,TN
Dustin,Johnson,1984-04-15,15,2018-02-03,69,1975,CT
Joan,Johnson,1985-02-09,20,2018-01-30,57,1975,DE
Melissa,Mora,1972-01-14,20,2018-02-13,59,2004,ND
Regina,Martinez,1974-08-17,14,2018-03-11,67,1973,ME
Billy,Hurst,1996-05-16,1,2018-12-28,33,1985,KY
Jennifer,Nolan,1980-03-14,20,2018-09-24,45,1996,OR
Deborah,Reyes,1993-05-20,12,2018-09-27,52,1973,VT
Michael,Smith,1965-01-23,20,2018-04-25,77,1979,NM
Amber,Beasley,1998-11-25,6,2018-02-20,62,1992,GA
Mary,Fuller,1979-07-02,20,2018-08-12,32,1980,WA
William,Hanson,1987-09-06,16,2018-04-16,70,1974,NE
Monica,Galvan,1990-01-01,2,2018-07-26,52,1987,CT
Joseph,Buck,1993-12-03,20,2018-09-05,68,1992,OK
Kelsey,Smith,1972-03-28,20,2018-01-21,89,2001,AZ
Jeremy,Johnson,1987-02-18,12,2018-08-09,91,1977,OR
Sarah,Taylor,1971-03-06,20,2018-10-19,81,2002,UT
Brenda,Garrett,1994-06-16,16,2018-01-19,89,1971,FL
Russell,Savage,1993-05-16,11,2018-10-12,93,1985,IL
Loretta,Young,1984-02-07,3,2018-05-01,86,1973,ID
Lisa,Jacobs,1985-06-11,16,2018-05-03,40,1970,OH
Matthew,Carter,1997-07-05,20,2018-03-18,66,1983,NM
Michael,Wise,1994-03-17,4,2018-09-23,36,1979,MD
Patricia,Lawrence,1995-05-21,4,2018-08-20,97,1971,DC
Rachael,Garcia,1987-11-16,19,2018-11-08,92,1974,NJ
Cheryl,Perez,1998-06-16,18,2018-11-26,46,1990,UT
Paul,Taylor,1978-05-30,4,2018-03-27,49,1971,TX
Karen,Gibbs,1983-02-06,20,2018-08-25,82,1978,DE
Bryan,Robinson,1994-10-29,11,2018-11-27,43,1984,VA
Lindsay,Ferguson,1985-05-24,12,2018-03-18,90,1975,SC
Jeff,Wright,1985-09-28,19,2018-12-29,76,1978,DE
Amanda,Monroe,1997-04-05,13,2018-05-09,98,1970,GA
Joshua,Lopez,1995-05-17,17,2018-07-03,48,1990,IL
Jason,Hill,1994-11-15,12,2018-12-11,41,1987,MO
James,Lee,1993-05-11,7,2018-10-06,51,1984,OH
Alec,Ward,1994-06-19,17,2018-06-24,59,1973,FL
Donald,Merritt,1989-07-04,0,2018-11-14,33,1977,VT
Kenneth,Solomon,1997-07-27,0,2018-03-10,43,1995,CA
Mark,Davis,1985-12-27,8,2018-12-08,79,1979,NY
Christina,Dodson,1976-10-27,20,2018-05-10,60,1992,MD
Curtis,Kline,1981-05-05,14,2018-08-20,93,1972,NE
Alexander,Mclean,1998-06-22,11,2018-02-19,31,1996,WI
Lisa,Chung,1987-07-27,17,2018-03-19,54,1981,MD
Victoria,Kane,1993-05-10,14,2018-07-13,73,1983,VT
Jesse,Martin,1985-01-06,16,2018-08-22,73,1975,FL
Michael,Miller,1984-05-12,4,2018-09-01,40,1971,KS
Emma,Kelly,1985-11-12,10,2018-09-14,39,1982,LA
Laura,Bean,1998-04-27,19,2018-05-27,68,1973,RI
Morgan,Flynn,1987-02-20,14,2018-10-27,52,1981,MD
Samantha,Nolan,1982-04-19,0,2018-01-12,67,1972,WA
Jonathan,Francis,1998-09-03,20,2018-02-10,81,1984,DC
Patricia,Stewart,1981-04-25,20,2018-07-21,53,2016,CT
Amy,Norris,1992-05-25,18,2018-01-30,53,1975,DC
Cheryl,Oneill,1998-07-10,9,2018-04-19,94,1971,DE
Paul,Kent,1998-01-30,16,2018-04-19,37,1977,SD
Gabriela,Sanchez,1960-11-05,20,2018-12-07,37,2005,WI
Jessica,Turner,1991-02-25,1,2018-07-28,36,1987,AL
Christina,Martin,1965-01-06,20,2018-08-04,76,1996,AR
Michael,Robles,1988-10-13,5,2018-09-04,34,1973,WI
Ryan,Randall,1969-12-05,20,2018-06-29,63,1980,SD
Theresa,Manning,1997-05-25,2,2018-07-08,96,1990,MA
Michael,Cooper,1983-10-30,15,2018-12-06,51,1970,TN
Mary,Guzman,1993-04-25,10,2018-10-17,45,1974,IA
Margaret,Wheeler,1984-09-19,6,2018-01-28,69,1970,NM
Vincent,Pratt,1982-12-29,16,2018-04-18,72,1978,IL
Catherine,Smith,1995-03-04,8,2018-12-10,76,1981,PA
Debra,Mccarthy,1994-10-16,3,2018-10-22,64,1986,CO
Stephen,Ballard,1997-12-12,8,2018-12-28,76,1994,TX
Brian,Singleton,1991-06-28,7,2018-08-06,96,1979,SC
Ariel,Becker,1988-10-06,0,2018-04-05,50,1984,OH
Manuel,Cox,1994-11-10,8,2018-08-22,98,1976,MI
Kara,Aguirre,1964-07-25,20,2018-02-14,97,1970,TX
Bradley,Johnson,1983-06-23,13,2018-10-08,93,1975,IN
Bryce,Boyer,1976-02-04,2,2018-08-09,35,1973,PA
Tammy,Patrick,1997-01-13,15,2018-02-05,79,1982,SC
David,Strickland,1995-06-22,13,2018-11-10,38,1976,MS
Ann,Simmons,1985-03-30,16,2018-05-29,57,1979,ID
Elizabeth,Harrington,1984-07-20,20,2018-12-29,78,2000,WA
Julia,Hodge,1978-05-02,7,2018-02-07,45,1971,TX
Lisa,Ellis,1997-11-08,12,2018-04-22,40,1992,SC
Jonathan,Rodriguez,1994-06-26,11,2018-02-23,83,1971,MO
Joshua,Goodwin,1989-12-31,2,2018-10-04,71,1986,WV
Victoria,Cortez,1991-04-18,20,2018-07-22,37,2008,FL
Bryan,Nguyen,1997-04-26,19,2018-07-13,78,1990,SD
Amy,Anderson,1997-10-27,0,2018-08-20,46,1974,UT
Adam,Fernandez,1987-10-05,9,2018-03-26,91,1983,KY
Brian,Dixon,1987-01-09,10,2018-09-06,35,1977,DC
Matthew,Gallagher,1991-07-03,14,2018-04-26,77,1985,ID
Amber,Berger,1992-06-23,1,2018-09-12,90,1976,AK
Pamela,Kemp,1987-02-18,20,2018-05-21,46,1998,NC
Brian,Johnson,1974-02-08,7,2018-09-19,50,1971,SC
Michael,Conway,1995-01-12,18,2018-03-07,88,1979,CO
Robert,Sanchez,1994-09-30,10,2018-11-13,37,1981,UT
Martha,Beard,1987-04-30,4,2018-10-10,83,1977,WA
Anthony,Mcneil,1986-06-20,2,2018-04-08,90,1978,DC
Alicia,Huang,1983-08-10,19,2018-07-09,85,1980,OR
John,Arroyo,1992-08-26,20,2018-03-23,78,1977,WV
Nicholas,Rogers,1996-11-25,4,2018-07-08,81,1990,MS
Pamela,Henry,1988-04-10,19,2019-01-08,49,1978,ID
Janice,Bush,1997-01-04,8,2018-09-12,93,1972,KY
Derek,Stanley,1963-09-27,20,2018-10-25,35,1989,DC
Mark,Morris,1994-06-29,2,2018-11-16,83,1989,WV
Emily,Richards,1990-11-17,5,2018-11-13,59,1982,NM
Kimberly,Huber,1989-10-19,13,2018-12-13,78,1987,FL
Kevin,Bowers,1972-09-02,10,2018-02-10,95,1970,DC
Gregory,Dorsey,1980-09-05,12,2018-05-15,91,1970,MI
Holly,Fowler,1985-08-01,19,2018-06-12,99,1978,CT
Ryan,White,1967-01-17,20,2018-11-29,59,2005,ND
Olivia,Spencer,1994-08-12,10,2018-01-22,34,1976,WI
James,Mayo,1987-05-15,18,2018-11-10,50,1984,KY
Jonathan,Jones,1993-01-17,6,2018-05-29,81,1978,SC
Lucas,Cardenas,1981-03-14,6,2018-06-26,40,1980,WA
John,Barber,1990-05-31,2,2018-07-01,33,1977,NJ
Brian,Christensen,1988-08-09,8,2018-12-09,55,1981,AL
Justin,Collins,1984-05-17,2,2018-03-08,79,1981,OR
Michelle,Morris,1987-06-01,6,2018-08-13,38,1984,OR
Marcus,Jacobs,1993-09-29,10,2018-11-14,80,1970,MD
Alan,Rivera,1983-11-09,20,2018-06-19,76,1980,NH
Edward,Tanner,1997-05-07,19,2018-03-01,35,1981,DE
Kimberly,Henry,1967-11-06,20,2018-10-23,30,2011,GA
Mark,Tran,1984-04-21,4,2018-02-18,63,1978,NE
Patricia,Clark,1971-08-23,20,2018-06-22,72,1997,NV
Samantha,Miller,1984-02-11,6,2018-05-16,98,1982,ID
Tina,Carlson,1988-06-14,15,2018-10-16,30,1982,HI
Ryan,Holmes,1990-01-10,5,2019-01-08,81,1970,UT
Stefanie,Scott,1994-07-11,0,2018-04-08,58,1984,MT
Donna,Mcgee,1985-11-07,17,2018-11-14,31,1980,ID
Monica,Sullivan,1975-01-20,20,2018-05-07,72,1995,NH
Joshua,Vega,1989-03-03,8,2018-07-23,41,1979,IA
Jonathan,Johns,1990-02-09,20,2018-10-31,55,1993,AR
Amy,Solis,1975-01-24,20,2018-11-09,49,1996,ND
Amber,Lewis,1996-12-03,3,2018-10-27,48,1991,NC
Laura,Moore,1965-05-23,20,2018-04-07,68,2006,NY
Kathleen,Clark,1993-02-13,7,2018-03-30,81,1971,WV
Jesus,Hernandez,1993-01-09,10,2018-10-13,95,1980,LA
Pamela,Anderson,1996-07-22,6,2018-11-12,89,1974,CT
Jay,Hayden,1986-04-19,8,2018-04-23,32,1978,CT
Renee,Edwards,1979-12-07,19,2018-04-27,42,1974,OR
Sean,Howard,1996-02-16,16,2018-09-20,61,1995,PA
Phillip,Williams,1996-05-10,9,2018-04-24,83,1976,VT
Kristin,Rogers,1984-09-05,0,2018-01-22,76,1977,KS
Dennis,Hoffman,1997-11-12,12,2018-02-11,79,1990,ND
Valerie,English,1995-09-05,1,2018-10-03,49,1979,MD
Diane,Beck,1984-01-30,9,2018-06-28,44,1972,FL
Jesse,Ellis,1997-09-05,18,2018-10-06,35,1984,CO
Dawn,Perez,1997-10-07,2,2018-03-19,92,1986,WI
David,Brown,1991-03-27,2,2018-02-05,36,1983,IA
Cameron,Robbins,1991-10-13,5,2018-07-31,51,1971,NC
Jason,Martin,1993-01-14,6,2018-01-20,59,1970,NJ
Michael,Hart,1993-08-25,15,2018-04-15,38,1977,IL
Mckenzie,Powell,1997-04-16,19,2019-01-01,79,1996,DE
Devin,Bright,1989-07-18,12,2018-05-30,85,1982,MT
Courtney,Jackson,1989-11-28,5,2018-10-21,96,1972,NV
Ricardo,Johnson,1991-05-04,7,2018-07-10,59,1990,AL
Michael,Harper,1997-08-18,17,2018-07-09,48,1971,SD
Angel,Miller,1982-12-06,0,2018-03-21,72,1977,MS
Brianna,Adams,1982-04-08,20,2018-06-08,48,2016,NJ
Jaime,Paul,1961-05-01,20,2018-12-08,51,2006,MA
Melissa,Gonzalez,1990-02-19,15,2018-07-17,97,1976,LA
Pedro,Mitchell,1986-06-15,0,2018-09-01,59,1977,IN
Mary,Hess,1984-12-01,4,2018-09-12,55,1975,MI
Amanda,Clarke,1983-03-10,20,2018-10-26,36,1990,IA
Scott,Barron,1982-03-27,5,2018-08-21,61,1975,MT
Steven,Watts,1975-12-20,8,2018-04-23,44,1972,NV
Janice,Farmer,1992-05-24,6,2018-02-14,93,1985,AL
Kenneth,Wagner,1982-10-09,3,2018-01-26,58,1980,TX
Daniel,Hood,1988-01-11,15,2018-03-16,73,1975,VA
Stacy,Craig,1998-10-05,12,2018-09-02,42,1996,HI
Christopher,Hill,1996-01-17,12,2018-08-11,67,1989,NE
Karen,Peters,1999-01-05,2,2018-03-08,33,1993,IA
David,Jones,1991-12-25,16,2018-05-31,95,1980,PA
Melissa,Anderson,1997-05-25,5,2018-11-26,38,1977,MA
Daniel,Hutchinson,1982-10-24,12,2018-02-22,45,1974,MN
Maria,Smith,1980-01-11,20,2018-01-31,98,1982,GA
Benjamin,Robbins,1995-12-06,10,2018-08-04,46,1987,VT
Kyle,Nash,1995-07-19,2,2018-09-16,61,1980,OK
Teresa,Reynolds,1998-09-17,0,2018-08-29,33,1991,AZ
Robert,Parker,1980-08-23,20,2018-03-15,67,1979,ME
Bryan,Long,1989-06-29,1,2018-08-10,67,1987,UT
Michael,Hardin,1994-04-30,6,2018-09-14,47,1973,MO
Sean,Harrington,1969-12-02,20,2018-10-27,87,1993,WV
Veronica,Leach,1982-04-21,6,2018-05-03,67,1979,MA
Jamie,Cox,1997-04-11,12,2018-06-30,41,1978,HI
Erika,Mcguire,1988-09-25,0,2018-02-17,43,1979,IL
Amber,Alvarez,1996-03-15,3,2018-02-15,42,1979,WY
Cheryl,Perry,1997-10-23,5,2018-12-19,82,1988,MT
Katherine,Tate,1998-10-02,0,2018-01-27,89,1973,WY
Adrian,Villegas,1982-11-18,20,2018-12-14,78,2011,ND
Christopher,Ellis,1995-12-29,2,2018-10-24,79,1992,IN
Kathy,Hogan,1985-10-21,11,2018-08-10,37,1974,IN
James,Martin,1989-10-08,10,2018-09-20,72,1976,KS
Clayton,Baldwin,1977-11-01,4,2018-04-20,86,1970,WI
Eric,Sheppard,1992-11-22,16,2018-09-26,92,1989,PA
Justin,Myers,1993-03-18,19,2018-11-23,65,1970,WI
Jacob,Mullins,1998-08-03,19,2018-03-15,92,1972,WY
Alexander,Ramirez,1991-11-09,12,2018-07-08,78,1988,MN
Mary,Downs,1979-10-07,16,2018-10-11,37,1977,FL
Robert,Barnes,1989-07-03,13,2018-10-14,40,1980,TN
Carolyn,Castro,1978-08-31,20,2018-10-23,35,2003,WY
Diane,Robinson,1992-08-30,3,2019-01-07,71,1973,MO
Michelle,Small,1968-12-09,20,2018-10-30,79,1997,NJ
Alexander,Owens,1992-08-25,7,2018-07-18,51,1977,LA
Scott,Lewis,1975-01-11,6,2018-08-31,50,1972,AL
Harry,Saunders,1997-12-30,7,2018-10-15,63,1994,OH
Joshua,Day,1989-06-20,20,2018-10-09,94,2017,TX
Charles,Gregory,1983-06-21,12,2018-09-19,36,1981,KS
Brittany,Williams,1989-09-22,16,2019-01-02,84,1975,VA
Kayla,Barron,1982-02-23,19,2018-05-10,74,1977,WI
Cassandra,Lewis,1982-10-09,20,2018-07-20,91,1984,KS
Glenn,Martin,1981-06-15,20,2018-03-30,35,1972,TN
David,Shaw,1975-06-17,11,2018-10-13,99,1971,ME
Stephen,Galloway,1992-12-26,4,2018-04-15,43,1981,AK
Christopher,Carr,1997-12-29,18,2018-07-25,92,1970,NV
Rebecca,Jones,1978-06-23,20,2018-03-13,61,2008,TN
Angela,Smith,1997-10-06,16,2018-03-27,45,1981,KS
Dustin,Nelson,1991-05-23,2,2018-02-06,50,1985,NM
Brian,Harvey,1998-03-20,17,2018-11-04,53,1979,ND
Matthew,Woods,1981-02-17,3,2018-04-16,58,1976,VA
Carol,Cortez,1991-10-24,20,2018-10-27,84,1983,MD
Lisa,Hawkins,1965-11-27,20,2018-02-13,78,2018,RI
Walter,Tran,1983-07-18,19,2018-04-27,36,1974,NJ
Carol,Moore,1980-10-19,5,2018-10-21,79,1975,NM
Dean,Cruz,1979-02-15,17,2018-02-04,81,1975,NH
Anthony,Page,1979-05-02,1,2018-06-21,50,1974,GA
Adam,Wade,1989-03-25,20,2018-05-05,97,2013,RI
Michael,Farmer,1992-04-01,14,2018-10-25,53,1985,WV
Larry,Walter,1990-08-06,19,2018-07-23,85,1989,IN
Holly,Barnes,1984-01-17,12,2018-09-15,48,1973,NV
Benjamin,Ewing,1983-06-18,15,2018-06-09,64,1978,IA
Denise,Lambert,1994-11-18,20,2018-06-15,95,1997,MI
Travis,Collins,1973-11-02,4,2018-03-20,51,1972,GA
Ian,Guzman,1994-10-24,17,2018-04-04,93,1985,UT
Joseph,Daugherty,1994-01-11,18,2018-12-26,32,1986,AZ
Nicholas,Price,1991-11-08,3,2018-12-25,46,1970,NM
Joseph,Medina,1982-03-05,4,2018-08-23,31,1972,DC
Danielle,Strickland,1997-09-15,1,2018-10-03,84,1992,NJ
Joan,Reyes,1983-05-11,19,2018-06-11,38,1980,KY
Harold,Morrison,1989-09-14,18,2018-03-06,99,1980,TX
Sandra,Cervantes,1983-05-21,15,2018-09-21,67,1970,WV
Kimberly,Fleming,1992-07-25,11,2018-08-24,98,1980,NV
Sylvia,Jenkins,1993-11-08,5,2018-06-03,44,1981,VT
Amanda,Wood,1988-07-16,6,2018-09-19,43,1985,AL
Amy,Zuniga,1988-10-04,6,2018-02-27,96,1973,WA
Charles,Bishop,1992-06-16,15,2018-02-25,43,1990,AL
Kevin,Morris,1984-12-07,9,2018-07-18,66,1971,OH
Alexandra,Richards,1975-01-21,20,2018-04-26,67,2015,NE
Jerome,Macias,1993-06-22,19,2018-02-06,97,1981,PA
Erin,Boyd,1994-01-04,6,2018-01-15,60,1978,AL
Zachary,Smith,1990-07-14,20,2018-07-07,52,2011,MS
Jennifer,Martinez,1991-09-15,18,2018-02-14,61,1987,IA
Seth,Cantu,1979-04-04,8,2018-03-27,41,1971,NE
John,Diaz,1995-03-24,4,2018-09-18,84,1977,VA
Kelsey,Lewis,1983-06-28,1,2018-11-25,67,1973,WA
Lauren,Freeman,1997-01-08,18,2018-11-18,66,1977,PA
Erika,Dominguez,1995-07-14,14,2018-11-01,74,1990,CT
Daniel,Cruz,1997-06-22,15,2018-04-03,67,1982,IL
Robert,Garza,1997-08-16,2,2018-10-08,54,1988,KY
Jillian,Harris,1982-07-01,15,2018-08-31,30,1972,AK
Jamie,Williams,1986-07-09,2,2018-07-15,74,1973,OR
Joseph,Smith,1988-03-04,11,2018-04-14,58,1972,RI
Alex,Brown,1980-08-13,20,2018-03-24,52,1991,KY
Benjamin,Fowler,1988-12-23,14,2018-01-20,58,1987,TN
Alyssa,Oconnor,1989-03-08,4,2018-12-30,37,1978,CA
Margaret,Rios,1989-03-05,0,2018-02-22,55,1987,WI
Rachel,Coleman,1982-11-03,6,2018-07-15,44,1976,DC
Christopher,Wright,1982-04-03,20,2018-02-24,91,1994,UT
Carol,Carpenter,1965-04-12,20,2018-03-05,64,1973,IA
Tricia,Dillon,1979-12-26,5,2018-02-08,44,1975,WY
Lance,Allen,1992-04-19,13,2018-06-30,93,1976,SD
Brenda,Schwartz,1975-04-18,20,2018-11-30,64,2006,OK
Sarah,Johnston,1998-09-11,1,2018-08-17,86,1970,ND
Craig,White,1997-04-16,11,2018-04-22,35,1973,ID
Alexander,Adams,1991-01-26,2,2018-04-03,35,1988,NM
Brian,Blanchard,1998-11-17,15,2018-10-12,39,1992,NV
Nicole,Turner,1998-08-24,19,2018-11-01,89,1976,IA
Tracy,Yu,1976-02-23,6,2018-03-04,33,1970,OK
Lisa,Lopez,1978-07-28,15,2018-12-15,91,1972,OK
Amanda,Richards,1990-06-25,16,2018-03-31,37,1970,UT
Allison,Lloyd,1976-11-14,17,2018-03-13,74,1972,ID
Christopher,Mercado,1981-05-04,8,2018-07-03,43,1971,IN
Kimberly,Alvarez,1988-08-15,8,2018-08-15,44,1985,CO
Rachel,Ho,1996-06-12,11,2018-10-11,64,1991,AK
