name,date_of_birth,company_id,last_active,score,joined_league,us_state
Hannah Jefferson,1996-05-02,13,2018-11-08,40,1977,North Carolina
James Murphy,1993-04-16,13,2018-08-03,49,1974,Georgia
Brandon Yoder,1993-02-02,0,2018-11-17,30,1980,Utah
Nancy Hawkins,1959-12-20,20,2018-08-20,96,1985,Delaware
Mary Lynch,1990-03-25,1,2018-12-22,52,1977,Ohio
Christine Young,1994-03-01,20,2019-01-08,85,1986,New Jersey
Derek Atkinson,1998-07-31,9,2018-09-14,60,1976,Texas
Cody Short,1991-08-26,17,2019-01-06,55,1982,New Hampshire
Peter Mccormick,1980-11-04,20,2018-07-14,63,1997,Ohio
Christopher Ramirez,1992-05-17,4,2018-12-17,61,1989,Wisconsin
Amanda Hunt,1998-03-24,19,2018-11-10,52,1991,Rhode Island
Nathan Bailey,1993-03-04,6,2018-04-20,72,1971,Rhode Island
Samuel Allen,1989-03-10,17,2018-05-29,65,1976,Virginia
Marco Gregory,1971-01-31,20,2018-07-17,84,1978,Minnesota
Brenda Colon,1998-08-01,11,2018-11-24,69,1983,North Carolina
Marcus Kennedy,1983-03-25,10,2018-10-02,81,1972,Oregon
Pamela Schmidt,1982-09-11,18,2018-05-30,93,1980,Massachusetts
Robert Middleton,1996-08-22,7,2018-09-13,41,1982,Idaho
Christopher Lopez,1994-07-09,10,2018-08-13,31,1984,Maine
Angel Frederick DDS,1994-05-03,7,2018-07-17,68,1973,Rhode Island
Rhonda Peterson,1986-04-22,0,2018-12-16,71,1975,Nevada
Kathy Sexton,1982-01-12,20,2019-01-02,97,2004,Texas
Robert Simpson,1978-08-09,20,2018-11-09,59,1975,Nebraska
Matthew Crawford,1994-09-24,20,2018-10-17,81,2009,Wisconsin
Samuel Pittman,1961-09-15,20,2018-06-09,73,1984,New Mexico
Veronica Beck,1991-06-29,2,2018-03-31,33,1989,New Mexico
Tyler Moore,1982-04-26,2,2018-09-04,47,1977,Colorado
Justin Hall,1980-08-26,19,2018-08-30,49,1972,Alabama
Patricia Dominguez,1972-01-24,20,2018-03-12,94,2017,Mississippi
Brianna Stevens,1997-11-24,18,2018-01-11,31,1977,Washington
Jessica Butler,1967-05-31,20,2018-08-16,92,2006,North Dakota
Monica Rogers,1994-11-04,19,2018-09-06,39,1991,Connecticut
Paula Smith,1997-01-19,14,2018-02-06,56,1981,New Hampshire
Andrew Crawford,1990-03-03,20,2018-08-03,70,2000,North Carolina
Billy Montgomery,1992-10-06,0,2018-02-20,91,1991,Illinois
Joseph Martin,1991-03-16,13,2018-01-14,86,1974,New Hampshire
Sara Barrett,1973-10-06,20,2018-05-26,34,1987,New Mexico
Bryan Harrison,1989-06-30,1,2018-11-10,94,1985,Connecticut
Taylor May,1982-11-18,20,2018-02-05,86,1978,New Hampshire
Christine Harrison,1996-09-10,20,2018-08-25,80,1976,Florida
Adrian Nelson,1972-08-03,18,2018-08-18,42,1971,West Virginia
Sara Price,1967-07-05,20,2018-03-11,67,2015,New Jersey
Brenda Garza,1998-03-24,17,2018-06-17,86,1988,Utah
Justin Ferrell,1987-10-28,2,2018-07-01,70,1981,Kentucky
Kendra Johnson,1971-12-03,20,2018-09-01,50,2005,South Carolina
Jason Dougherty,1998-09-05,16,2018-05-16,34,1994,Delaware
Vanessa Rosales,1997-09-12,4,2018-03-10,56,1985,Florida
Brenda Morton,1993-03-30,2,2018-01-28,62,1977,New Jersey
John Murphy,1994-08-11,10,2018-04-15,38,1985,Washington
Peter Chan,1980-03-25,13,2018-12-24,68,1977,North Carolina
Andrew Taylor,1990-02-14,14,2018-07-31,83,1981,North Carolina
Jessica King,1973-07-08,20,2018-06-28,54,2002,Alabama
Tommy Rodriguez,1996-06-17,9,2018-02-02,80,1990,South Dakota
Lorraine Martin,1993-05-22,20,2018-08-20,38,1974,North Carolina
Tracy Miller PhD,1974-01-06,20,2018-11-05,90,1987,Pennsylvania
Russell Grant,1979-06-15,18,2018-07-10,54,1976,Massachusetts
Gregory Foster,1985-01-27,5,2018-12-31,51,1982,Arizona
Lisa Smith,1974-09-25,20,2018-06-18,78,2016,Virginia
Jordan Daniels,1967-08-26,20,2018-11-02,68,2016,Arkansas
Karen Smith,1994-08-06,13,2018-07-03,59,1988,Delaware
Jeffrey Crawford,1991-11-30,1,2018-08-26,78,1979,Louisiana
Franklin Martinez,1996-03-03,0,2018-06-14,91,1973,Hawaii
Ashley Scott,1993-03-09,12,2018-11-02,30,1978,Wisconsin
John Gilbert,1996-06-19,13,2018-08-04,69,1995,New Mexico
Christine Fowler,1981-10-31,8,2018-10-04,99,1977,Montana
Ryan Griffin,1965-09-08,20,2018-12-17,38,1984,South Dakota
Brian Vasquez,1997-02-07,13,2018-08-21,62,1996,New Hampshire
Jeremy Pena,1978-07-02,20,2018-01-13,56,1984,Alabama
Christopher Reynolds,1976-09-25,20,2018-02-01,36,1995,Idaho
Theresa Hernandez,1980-06-21,7,2018-05-18,93,1977,Utah
Edward Benson,1988-12-26,20,2018-01-24,90,2016,Louisiana
James Jackson,1981-03-01,4,2018-09-18,76,1980,Louisiana
Deborah Mccall,1980-12-13,3,2018-01-19,58,1975,Connecticut
Nicole Cox,1996-05-27,12,2018-01-22,35,1995,Virginia
Robert Johnson,1991-04-20,16,2018-08-01,39,1979,Pennsylvania
Trevor Mcmahon,1982-01-26,12,2018-05-16,79,1975,New Hampshire
Dana Martinez,1994-05-22,15,2018-03-21,78,1978,West Virginia
Jared Brown,1993-04-14,20,2018-03-31,62,2012,Utah
Michelle Foster,1987-07-15,2,2018-08-22,80,1973,Wyoming
Joseph Cooper,1982-11-27,9,2018-08-18,75,1970,Hawaii
Jennifer Paul,1995-10-27,12,2018-05-21,69,1976,New Mexico
Michael Murray,1997-04-25,8,2018-11-20,99,1970,Arizona
Samantha Scott,1988-04-18,20,2018-01-14,60,2006,Iowa
Paula Jackson,1993-11-19,0,2019-01-01,33,1986,New Jersey
Brett Hickman,1989-09-21,8,2018-09-05,80,1976,Oregon
Charles Miller,1984-01-16,20,2018-09-21,70,1978,South Carolina
Michael Castillo,1981-12-20,17,2018-04-09,67,1974,Montana
Steven Scott,1994-11-15,15,2018-08-03,85,1975,Mississippi
Stephen Ferguson,1997-09-17,20,2018-12-21,48,2001,Idaho
Thomas Harvey,1993-09-27,20,2018-02-04,91,1991,Florida
Bruce Graham,1997-10-09,19,2018-09-14,94,1992,South Carolina
Joe Logan,1986-11-12,4,2018-09-18,78,1985,Utah
Taylor Zamora,1959-08-12,20,2018-10-05,79,1992,North Dakota
Cheryl Mckay,1983-09-19,2,2018-09-28,95,1982,Ohio
Richard Johnson,1984-01-20,20,2018-01-23,38,1972,New York
Keith Barker,1977-02-07,7,2018-02-10,30,1971,South Carolina
Mr. Steven Soto,1992-10-17,10,2018-05-20,65,1991,West Virginia
Mrs. Ashley Parks,1980-01-28,19,2018-08-19,34,1979,Alabama
Robert Johnson,1981-09-04,4,2018-10-04,46,1972,Missouri
Deborah Williams,1982-10-10,20,2018-02-03,36,1974,Virginia
Brianna Mendoza,1986-08-09,20,2018-09-22,49,2007,South Carolina
Jay Stark,1983-12-21,18,2018-07-23,66,1971,Texas
Maurice Short,1997-07-05,14,2018-08-03,34,1982,Arizona
Margaret Chavez,1968-06-01,20,2018-07-15,48,1986,Michigan
Elijah Jefferson,1992-12-23,20,2018-06-24,58,1977,Arkansas
Laura Lee,1977-12-14,0,2018-04-10,34,1971,Hawaii
Sharon Smith,1988-04-30,12,2018-06-06,64,1980,Arizona
Cody Wilcox,1991-03-10,16,2018-10-15,62,1972,Texas
Gabriela Wu,1979-01-14,20,2018-04-18,70,1986,North Dakota
Karen James,1978-12-24,8,2018-08-03,93,1971,Kansas
Christopher Richardson,1979-05-12,19,2018-04-16,60,1972,Massachusetts
Albert Maldonado,1989-01-04,9,2018-03-14,53,1976,Washington
Kathleen Fernandez,1989-05-24,13,2018-08-08,97,1975,Arizona
Dylan Baxter,1994-09-26,5,2018-12-12,52,1989,Wyoming
Christopher Coffey,1989-12-30,1,2018-01-31,67,1976,Iowa
Heather Jones DDS,1986-05-29,0,2018-11-18,85,1985,Pennsylvania
Alicia Walker,1989-08-31,20,2018-06-16,85,2010,Georgia
Lucas Scott,1997-08-04,12,2018-08-14,69,1986,Arizona
Noah Perez,1989-05-05,17,2018-07-05,72,1977,North Carolina
Virginia Braun,1980-04-22,4,2018-09-29,73,1973,South Dakota
Angela Gilbert,1994-11-20,19,2019-01-05,42,1988,Delaware
Vincent Figueroa,1982-02-08,15,2018-05-17,58,1977,Indiana
Jeff Jones,1994-07-23,12,2018-07-13,45,1992,Michigan
Melissa Miller,1994-08-13,1,2018-02-05,52,1988,New Mexico
Joshua Preston,1974-08-01,20,2018-07-03,88,1979,Utah
Joan Davis,1997-11-23,12,2018-06-30,93,1978,Iowa
Anna Rosario,1961-10-07,20,2018-04-05,52,2008,Missouri
Joseph Smith,1994-02-01,1,2018-02-23,73,1970,Pennsylvania
Jeffrey West,1986-05-17,4,2018-03-06,99,1977,Georgia
Jay Jackson,1998-11-17,17,2018-08-29,97,1989,Tennessee
James Adkins,1977-06-08,0,2018-01-13,74,1976,Virginia
Nancy Dixon,1998-11-18,8,2018-09-11,39,1971,Arkansas
Dorothy Mckinney,1985-06-26,17,2018-12-24,60,1983,Ohio
Krystal Thompson,1979-03-17,2,2018-05-19,69,1970,New Jersey
Veronica Lindsey,1986-10-19,4,2018-03-21,93,1975,Georgia
Kelly Russell,1986-12-20,16,2018-11-24,54,1983,Idaho
Christopher Armstrong,1966-12-25,20,2018-02-16,66,2010,Iowa
Ernest Phillips,1969-12-06,20,2018-05-19,82,1997,Texas
Wanda Drake,1993-09-16,20,2018-04-14,47,2010,New Mexico
Matthew Reynolds,1988-03-18,0,2018-05-25,56,1983,Virginia
Ronald Copeland,1984-10-04,3,2018-11-19,44,1971,Alabama
Emily Sosa,1983-11-08,20,2018-05-06,40,1977,Idaho
Kevin Taylor,1997-04-19,20,2018-11-16,91,1971,New York
Jason Cervantes,1986-09-28,2,2018-11-21,46,1985,Oklahoma
Timothy Zimmerman,1996-04-11,15,2018-06-22,72,1975,South Carolina
Steven Kaiser,1995-02-23,14,2018-07-22,48,1982,Alaska
Ryan Brooks,1992-01-16,15,2018-03-14,34,1988,Delaware
Caitlyn Kennedy,1987-10-14,16,2018-11-01,77,1971,Maryland
Maria Brown,1978-04-16,2,2018-06-25,42,1973,Arizona
Marisa Moore,1993-02-22,17,2018-09-03,99,1971,Virginia
Johnny Dyer,1987-02-17,20,2018-12-30,54,1985,Louisiana
Scott Calhoun,1991-01-05,16,2018-09-26,68,1972,Oklahoma
Johnathan Riley,1987-10-10,7,2018-02-24,72,1978,Washington
Jesus Watson,1988-11-05,5,2018-06-06,52,1985,Arizona
Nancy King,1995-01-12,3,2018-01-26,61,1976,Kansas
Barbara Flores,1985-03-10,8,2018-03-08,56,1982,New Jersey
David Carlson,1995-05-15,9,2018-10-25,72,1972,Minnesota
Tracy Potter,1972-04-13,20,2018-12-15,57,1991,North Dakota
Derek Douglas,1978-06-13,20,2018-05-21,30,2002,New Hampshire
Kenneth Williams,1984-12-23,2,2018-08-26,34,1977,West Virginia
Troy Noble,1990-10-10,2,2018-12-13,65,1978,Arkansas
Victoria Villa,1990-06-18,1,2018-03-12,37,1985,North Dakota
Timothy Jones,1998-05-09,3,2018-06-22,99,1978,Louisiana
Tamara Williams,1960-03-18,20,2018-10-30,49,1972,Rhode Island
Dr. Joy Nixon,1983-01-08,9,2018-08-02,84,1979,New Hampshire
Patrick Harris,1997-10-01,7,2018-01-09,85,1976,Oklahoma
Ms. Tammy Dunlap DDS,1977-06-28,20,2018-10-25,62,1987,Wyoming
Laura Lee,1988-05-09,14,2018-02-12,64,1975,Minnesota
Lisa Sullivan MD,1985-02-28,19,2018-07-01,97,1979,Alaska
Alexander Mendoza,1976-10-26,1,2018-07-29,63,1970,North Carolina
Becky Robinson,1991-12-26,15,2018-09-05,93,1980,California
Joshua Rollins,1984-01-13,13,2018-12-11,96,1975,Nevada
Elizabeth Page,1992-03-04,13,2019-01-05,85,1976,Louisiana
Shane Ryan,1988-08-01,9,2018-12-31,91,1987,Connecticut
Amy Nelson,1970-09-19,20,2018-07-12,34,1990,Delaware
Melissa Robbins,1991-11-30,5,2018-02-27,57,1970,Alaska
Hannah Brown,1978-10-19,20,2018-04-09,91,2018,Rhode Island
Kelly Rodriguez,1973-09-07,7,2018-07-05,49,1971,Wyoming
Theresa Le,1991-04-29,9,2018-05-01,39,1990,Maine
Erik Peterson,1992-11-10,15,2018-11-12,40,1985,Minnesota
Luis Fields,1995-11-16,12,2018-08-18,35,1990,California
Sarah Tucker,1978-06-25,20,2018-05-23,82,1983,Alaska
Emily Marshall,1975-08-07,7,2018-07-07,95,1972,Virginia
Courtney Fitzgerald,1994-11-19,0,2018-01-21,61,1982,Florida
Kevin Morris,1993-11-02,13,2018-05-14,89,1987,Arizona
Johnny Hansen,1998-12-03,6,2018-11-24,66,1994,Florida
Benjamin Hines,1994-03-22,16,2018-06-16,98,1974,Mississippi
George Moss,1984-10-05,2,2018-09-08,38,1983,Alaska
Timothy Wallace,1984-11-16,7,2018-02-05,40,1983,Missouri
Anne Turner,1968-07-07,20,2018-12-09,36,2004,Pennsylvania
Christopher Miller,1982-06-20,6,2018-06-27,63,1970,New Mexico
Dr. Gloria Michael MD,1990-04-06,11,2018-06-15,40,1985,Delaware
Edward Benitez,1996-10-16,2,2018-05-01,76,1973,Missouri
Tamara Williams,1997-08-11,6,2018-08-25,69,1974,Ohio
Audrey Bartlett,1996-01-14,13,2018-04-10,65,1980,Minnesota
Lisa Whitaker,1988-06-14,12,2018-06-29,42,1971,Michigan
Vincent Morton,1966-08-13,20,2018-01-17,99,1988,Illinois
David Cooper,1990-01-12,12,2018-10-26,60,1974,Wyoming
Alexandra Wagner,1987-10-12,16,2018-07-02,99,1977,Nevada
Joseph Edwards,1980-01-09,20,2018-07-19,40,1986,South Dakota
Leroy Butler,1998-03-29,14,2018-12-19,77,1970,Virginia
Anna Williams,1979-09-06,20,2018-02-17,37,1992,Texas
Kristina Dickerson,1983-01-14,6,2018-06-13,84,1979,Texas
Timothy Miles,1995-05-09,18,2018-11-05,36,1972,Ohio
Jason Rivera,1997-02-01,9,2018-12-03,91,1996,Alaska
Courtney Wagner,1990-10-12,11,2018-12-01,32,1977,Wisconsin
Janice Bates,1964-12-25,20,2018-02-19,57,2013,Utah
Lisa Harrington,1982-11-05,4,2018-02-03,65,1979,Nevada
Julia Montes,1987-03-11,10,2018-12-23,85,1975,North Dakota
Gabrielle Johnson,1987-08-26,2,2018-09-05,38,1971,Delaware
David Campbell DDS,1983-06-02,12,2018-01-17,62,1976,Oklahoma
David Myers,1996-05-06,7,2018-08-10,63,1977,Florida
Kim Le,1998-12-15,15,2018-11-16,80,1985,Tennessee
Daniel Davis,1995-04-25,16,2018-08-30,46,1981,Oregon
Joseph Long,1996-05-14,13,2018-01-12,69,1974,Connecticut
David Mcclure,1981-06-14,7,2018-01-09,70,1974,Virginia
Michael Ray,1998-09-24,18,2018-07-10,92,1984,Maryland
Vicki Le,1991-10-17,11,2018-06-04,36,1972,Kansas
Brendan Gould,1993-05-26,2,2018-12-22,43,1970,Massachusetts
